Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2015-05-01,2627.00,6696.00,2.90,22.00,757.00,178.00,5.00,3.00,937.00
2015-05-02,3572.00,12679.00,6.21,45.00,648.00,159.00,38.00,82.00,1982.00
2015-05-03,3438.00,11136.00,5.63,85.00,553.00,166.00,26.00,76.00,1900.00
2015-05-04,3136.00,9687.00,4.61,47.00,703.00,179.00,9.00,45.00,1478.00
2015-05-05,3377.00,12614.00,6.00,26.00,666.00,180.00,34.00,72.00,1793.00
2015-05-06,2854.00,10375.00,4.96,25.00,736.00,140.00,17.00,42.00,1265.00
2015-05-07,2803.00,7417.00,3.33,25.00,694.00,220.00,8.00,18.00,1214.00
2015-05-08,2477.00,5255.00,2.31,17.00,763.00,171.00,0.00,0.00,830.00
2015-05-09,3593.00,17998.00,8.83,107.00,602.00,228.00,11.00,68.00,2100.00
2015-05-10,3251.00,12350.00,5.36,44.00,558.00,256.00,36.00,61.00,1849.00
2015-05-11,2884.00,8839.00,3.92,27.00,684.00,210.00,12.00,24.00,1310.00
2015-05-12,2786.00,7869.00,3.78,63.00,801.00,131.00,11.00,34.00,1129.00
2015-05-13,3026.00,10714.00,4.74,26.00,674.00,176.00,32.00,45.00,1427.00
2015-05-14,2410.00,5728.00,2.48,15.00,655.00,181.00,0.00,0.00,776.00
2015-05-15,2899.00,10994.00,5.13,27.00,740.00,185.00,10.00,36.00,1338.00
2015-05-16,3560.00,16206.00,8.42,61.00,583.00,214.00,19.00,65.00,2063.00
2015-05-17,2317.00,3556.00,1.54,4.00,690.00,195.00,0.00,0.00,727.00
2015-05-18,2990.00,11434.00,5.32,24.00,672.00,199.00,17.00,48.00,1472.00
2015-05-19,2944.00,10237.00,5.24,50.00,725.00,167.00,5.00,44.00,1383.00
2015-05-20,2852.00,10810.00,4.83,40.00,677.00,204.00,15.00,27.00,1285.00
2015-05-21,2672.00,6438.00,2.81,24.00,711.00,166.00,20.00,21.00,1079.00
2015-05-22,3324.00,15476.00,7.08,31.00,643.00,183.00,26.00,86.00,1831.00
2015-05-23,3446.00,16794.00,8.32,51.00,605.00,271.00,4.00,63.00,2017.00
2015-05-24,2562.00,4575.00,1.99,7.00,673.00,182.00,21.00,9.00,1000.00
2015-05-25,2505.00,4758.00,2.06,16.00,717.00,199.00,0.00,0.00,899.00
2015-05-26,2860.00,10164.00,4.76,23.00,685.00,190.00,15.00,30.00,1295.00
2015-05-27,2861.00,7780.00,3.45,27.00,734.00,113.00,23.00,64.00,1279.00
2015-05-28,2494.00,4683.00,2.04,22.00,766.00,183.00,6.00,4.00,875.00
2015-05-29,3278.00,13689.00,6.25,18.00,680.00,225.00,41.00,48.00,1801.00
2015-05-30,3461.00,17621.00,8.82,64.00,648.00,177.00,20.00,78.00,1963.00
2015-05-31,2551.00,4549.00,1.97,13.00,702.00,227.00,5.00,9.00,1042.00
2015-06-01,2971.00,11121.00,5.17,21.00,714.00,174.00,18.00,51.00,1432.00
2015-06-02,3047.00,11940.00,6.64,49.00,748.00,149.00,11.00,60.00,1536.00
2015-06-03,2595.00,6610.00,2.86,28.00,741.00,167.00,16.00,20.00,991.00
2015-06-04,2560.00,6412.00,2.77,25.00,705.00,263.00,0.00,0.00,1059.00
2015-06-05,3171.00,11875.00,5.51,20.00,679.00,195.00,37.00,50.00,1673.00
2015-06-06,3004.00,18335.00,9.16,8.00,565.00,164.00,21.00,62.00,1526.00
2015-06-07,2827.00,11800.00,5.10,54.00,565.00,209.00,5.00,68.00,1385.00
2015-06-08,3318.00,12670.00,5.82,28.00,646.00,219.00,19.00,60.00,1832.00
2015-06-09,2383.00,5905.00,2.55,19.00,700.00,194.00,0.00,0.00,823.00
2015-06-10,2836.00,8149.00,3.52,12.00,644.00,259.00,8.00,15.00,1320.00
2015-06-11,2621.00,7565.00,3.27,18.00,673.00,246.00,0.00,0.00,1084.00
2015-06-12,2918.00,10284.00,4.85,32.00,742.00,154.00,6.00,62.00,1377.00
2015-06-13,3798.00,18049.00,9.71,74.00,650.00,192.00,26.00,96.00,2328.00
2015-06-14,2881.00,8061.00,3.49,31.00,584.00,256.00,17.00,26.00,1437.00
2015-06-15,3002.00,10961.00,5.07,28.00,677.00,202.00,13.00,41.00,1498.00
2015-06-16,2365.00,4563.00,1.97,17.00,899.00,116.00,9.00,23.00,767.00
2015-06-17,2576.00,8078.00,3.49,24.00,1112.00,154.00,20.00,24.00,998.00
